2026-08-26T11:42:10.520+08:00 INFO  o.h.validator.internal.util.Version : HV000001: Hibernate Validator 8.0.1.Final
2026-08-26T12:32:39.550+08:00 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-08-26T12:32:42.389+08:00 INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port 8081 (http)
2026-08-26T12:32:42.409+08:00 INFO  o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8081"]
2026-08-26T12:32:42.417+08:00 INFO  o.a.catalina.core.StandardService : Starting service [Tomcat]
2026-08-26T12:32:42.418+08:00 INFO  o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.31]
2026-08-26T12:32:42.509+08:00 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2026-08-26T12:32:42.511+08:00 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2950 ms
2026-08-26T12:32:43.073+08:00 WARN  c.b.m.core.injector.methods.Insert : [com.reservation.mapper.AuditLogMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2026-08-26T12:32:43.139+08:00 WARN  c.b.m.c.injector.methods.SelectList : [com.reservation.mapper.BookingMapper.selectList] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectList]
2026-08-26T12:32:43.143+08:00 WARN  c.b.m.c.injector.methods.SelectById : [com.reservation.mapper.BookingMapper.selectById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectById]
2026-08-26T12:32:43.216+08:00 WARN  c.b.m.core.injector.methods.Update : [com.reservation.mapper.CourseScheduleMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-08-26T12:32:44.274+08:00 WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration : 

Using generated security password: b8b65654-fa0c-482f-87dc-19856787330c

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-08-26T12:32:44.285+08:00 INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer : Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2026-08-26T12:32:44.387+08:00 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
2026-08-26T12:32:45.159+08:00 INFO  o.s.b.d.a.OptionalLiveReloadServer : LiveReload server is running on port 35729
2026-08-26T12:32:45.181+08:00 INFO  o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8081"]
2026-08-26T12:32:45.223+08:00 INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port 8081 (http) with context path '/'
2026-08-26T12:32:45.239+08:00 INFO  c.r.SpringBootMergeApplication : Started SpringBootMergeApplication in 8.531 seconds (process running for 9.747)
2026-08-26T12:40:23.855+08:00 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-08-26T12:40:23.872+08:00 INFO  o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2026-08-26T12:40:23.940+08:00 INFO  o.s.web.servlet.DispatcherServlet : Completed initialization in 20 ms
2026-08-26T12:40:26.625+08:00 WARN  c.r.config.JwtAuthenticationFilter : [JwtAuthFilter] Token 校验失败，uri=/user/statistical/byMonth
2026-08-26T12:40:26.625+08:00 WARN  c.r.config.JwtAuthenticationFilter : [JwtAuthFilter] Token 校验失败，uri=/course/appointment/statistical/byMonth
2026-08-26T12:40:26.625+08:00 WARN  c.r.config.JwtAuthenticationFilter : [JwtAuthFilter] Token 校验失败，uri=/course/booking/statistical/byMonth
2026-08-26T12:40:26.625+08:00 WARN  c.r.config.JwtAuthenticationFilter : [JwtAuthFilter] Token 校验失败，uri=/course/statistical/byMonth
2026-08-26T12:40:27.812+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2026-08-26T12:40:28.897+08:00 INFO  com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@395684ac
2026-08-26T12:40:28.964+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2026-08-26T12:40:29.197+08:00 INFO  c.r.service.RefreshTokenService : 删除旧刷新Token开始, token=eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIwYzBkNWE2NS0xNWViLTQ3ZGQtYmY0Mi1jOWJmMjY0NTY5MDIiLCJleHAiOjE3ODgyNTUzNDJ9.dziZHqFBp9Fuv0uNzszTxrp0ai6xo430SGPc54QqWXI
2026-08-26T12:40:29.248+08:00 INFO  c.r.service.RefreshTokenService : 删除旧刷新Token结束, token=eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiIwYzBkNWE2NS0xNWViLTQ3ZGQtYmY0Mi1jOWJmMjY0NTY5MDIiLCJleHAiOjE3ODgyNTUzNDJ9.dziZHqFBp9Fuv0uNzszTxrp0ai6xo430SGPc54QqWXI
2026-08-26T12:45:50.799+08:00 INFO  c.r.service.CourseScheduleService : getAvailableSchedule 1, teacherId=00d29a79-02d6-4a8c-9dd6-98eb9e1086e9, rows=10
2026-08-26T12:45:50.801+08:00 INFO  c.r.service.CourseScheduleService : schedule 40a8b4ba12824f458a28c793f21e064a bookingCount=0
2026-08-26T12:45:50.803+08:00 INFO  c.r.service.CourseScheduleService : schedule becb28f38a974aa7a6c513de8e301932 bookingCount=0
2026-08-26T12:45:50.804+08:00 INFO  c.r.service.CourseScheduleService : schedule 6f11167caa9c4a86a54743762f7d12a9 bookingCount=0
2026-08-26T12:45:50.806+08:00 INFO  c.r.service.CourseScheduleService : schedule de9a1861e1b44ed7aefc1ee02c31581f bookingCount=0
2026-08-26T12:45:50.812+08:00 INFO  c.r.service.CourseScheduleService : schedule ea751515eff94f93a33a3604d284497a bookingCount=0
2026-08-26T12:45:50.817+08:00 INFO  c.r.service.CourseScheduleService : schedule 0d52cdf943f647d2a3bbfc5becc777fe bookingCount=0
2026-08-26T12:45:50.818+08:00 INFO  c.r.service.CourseScheduleService : schedule 1cdfe75b1c9c44939db8acc2f17d97dc bookingCount=0
2026-08-26T12:45:50.820+08:00 INFO  c.r.service.CourseScheduleService : schedule 793fb422ea054ef7973cfa3eba582d89 bookingCount=0
2026-08-26T12:45:50.822+08:00 INFO  c.r.service.CourseScheduleService : schedule a1b49fceada64538915b5ca9991b44c5 bookingCount=0
2026-08-26T12:45:50.824+08:00 INFO  c.r.service.CourseScheduleService : schedule f9cf2cba47944cec833e823c065fd91b bookingCount=0
2026-08-26T12:45:50.826+08:00 INFO  c.r.service.CourseScheduleService : getAvailableSchedule 2, teacherId=00d29a79-02d6-4a8c-9dd6-98eb9e1086e9, rows=10
2026-08-26T12:56:09.856+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2026-08-26T12:56:09.867+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2026-08-26T12:56:48.806+08:00 INFO  o.h.validator.internal.util.Version : HV000001: Hibernate Validator 8.0.1.Final
2026-08-26T12:56:48.881+08:00 INFO  c.r.SpringBootMergeApplication : Starting SpringBootMergeApplication using Java 21.0.8 with PID 17556 (H:\2026\lesson-appointment\api\target\classes started by Administrator in H:\2026\lesson-appointment\api)
2026-08-26T12:56:48.883+08:00 INFO  c.r.SpringBootMergeApplication : No active profile set, falling back to 1 default profile: "default"
2026-08-26T12:56:49.040+08:00 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-08-26T12:56:49.040+08:00 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-08-26T12:56:51.916+08:00 INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port 8081 (http)
2026-08-26T12:56:51.938+08:00 INFO  o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8081"]
2026-08-26T12:56:52.009+08:00 INFO  o.a.catalina.core.StandardService : Starting service [Tomcat]
2026-08-26T12:56:52.018+08:00 INFO  o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.31]
2026-08-26T12:56:52.168+08:00 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2026-08-26T12:56:52.168+08:00 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 3127 ms
2026-08-26T12:56:52.739+08:00 WARN  c.b.m.core.injector.methods.Insert : [com.reservation.mapper.AuditLogMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2026-08-26T12:56:52.817+08:00 WARN  c.b.m.c.injector.methods.SelectList : [com.reservation.mapper.BookingMapper.selectList] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectList]
2026-08-26T12:56:52.824+08:00 WARN  c.b.m.c.injector.methods.SelectById : [com.reservation.mapper.BookingMapper.selectById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectById]
2026-08-26T12:56:52.931+08:00 WARN  c.b.m.core.injector.methods.Update : [com.reservation.mapper.CourseScheduleMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-08-26T12:56:53.967+08:00 WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration : 

Using generated security password: 855949a0-3fdc-4be2-86f7-637d2ef8f6ae

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-08-26T12:56:53.978+08:00 INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer : Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2026-08-26T12:56:54.078+08:00 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
2026-08-26T12:56:55.381+08:00 INFO  o.s.b.d.a.OptionalLiveReloadServer : LiveReload server is running on port 35729
2026-08-26T12:56:55.414+08:00 INFO  o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8081"]
2026-08-26T12:56:55.466+08:00 INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port 8081 (http) with context path '/'
2026-08-26T12:56:55.478+08:00 INFO  c.r.SpringBootMergeApplication : Started SpringBootMergeApplication in 7.515 seconds (process running for 8.418)
2026-08-26T12:58:10.633+08:00 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-08-26T12:58:10.633+08:00 INFO  o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2026-08-26T12:58:10.635+08:00 INFO  o.s.web.servlet.DispatcherServlet : Completed initialization in 1 ms
2026-08-26T12:58:23.191+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2026-08-26T12:58:23.577+08:00 INFO  com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@18bf5cac
2026-08-26T12:58:23.602+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2026-08-26T13:00:44.774+08:00 INFO  c.r.service.CourseScheduleService : getAvailableSchedule 1, teacherId=00d29a79-02d6-4a8c-9dd6-98eb9e1086e9, rows=10
2026-08-26T13:00:44.776+08:00 INFO  c.r.service.CourseScheduleService : schedule 40a8b4ba12824f458a28c793f21e064a bookingCount=0
2026-08-26T13:00:44.778+08:00 INFO  c.r.service.CourseScheduleService : schedule becb28f38a974aa7a6c513de8e301932 bookingCount=0
2026-08-26T13:00:44.779+08:00 INFO  c.r.service.CourseScheduleService : schedule 6f11167caa9c4a86a54743762f7d12a9 bookingCount=0
2026-08-26T13:00:44.781+08:00 INFO  c.r.service.CourseScheduleService : schedule de9a1861e1b44ed7aefc1ee02c31581f bookingCount=0
2026-08-26T13:00:44.786+08:00 INFO  c.r.service.CourseScheduleService : schedule ea751515eff94f93a33a3604d284497a bookingCount=0
2026-08-26T13:00:44.794+08:00 INFO  c.r.service.CourseScheduleService : schedule 0d52cdf943f647d2a3bbfc5becc777fe bookingCount=0
2026-08-26T13:00:44.796+08:00 INFO  c.r.service.CourseScheduleService : schedule 1cdfe75b1c9c44939db8acc2f17d97dc bookingCount=0
2026-08-26T13:00:44.799+08:00 INFO  c.r.service.CourseScheduleService : schedule 793fb422ea054ef7973cfa3eba582d89 bookingCount=0
2026-08-26T13:00:44.804+08:00 INFO  c.r.service.CourseScheduleService : schedule a1b49fceada64538915b5ca9991b44c5 bookingCount=0
2026-08-26T13:00:44.807+08:00 INFO  c.r.service.CourseScheduleService : schedule f9cf2cba47944cec833e823c065fd91b bookingCount=0
2026-08-26T13:00:44.808+08:00 INFO  c.r.service.CourseScheduleService : getAvailableSchedule 2, teacherId=00d29a79-02d6-4a8c-9dd6-98eb9e1086e9, rows=10
2026-08-26T13:04:54.422+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2026-08-26T13:04:54.430+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2026-08-26T13:05:33.816+08:00 INFO  o.h.validator.internal.util.Version : HV000001: Hibernate Validator 8.0.1.Final
2026-08-26T13:05:33.883+08:00 INFO  c.r.SpringBootMergeApplication : Starting SpringBootMergeApplication using Java 21.0.8 with PID 18140 (H:\2026\lesson-appointment\api\target\classes started by Administrator in H:\2026\lesson-appointment\api)
2026-08-26T13:05:33.884+08:00 INFO  c.r.SpringBootMergeApplication : No active profile set, falling back to 1 default profile: "default"
2026-08-26T13:05:33.963+08:00 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-08-26T13:05:33.965+08:00 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-08-26T13:05:36.328+08:00 INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port 8081 (http)
2026-08-26T13:05:36.342+08:00 INFO  o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8081"]
2026-08-26T13:05:36.352+08:00 INFO  o.a.catalina.core.StandardService : Starting service [Tomcat]
2026-08-26T13:05:36.353+08:00 INFO  o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.31]
2026-08-26T13:05:36.426+08:00 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2026-08-26T13:05:36.427+08:00 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2460 ms
2026-08-26T13:05:36.921+08:00 WARN  c.b.m.core.injector.methods.Insert : [com.reservation.mapper.AuditLogMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2026-08-26T13:05:36.976+08:00 WARN  c.b.m.c.injector.methods.SelectList : [com.reservation.mapper.BookingMapper.selectList] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectList]
2026-08-26T13:05:36.984+08:00 WARN  c.b.m.c.injector.methods.SelectById : [com.reservation.mapper.BookingMapper.selectById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectById]
2026-08-26T13:05:37.073+08:00 WARN  c.b.m.core.injector.methods.Update : [com.reservation.mapper.CourseScheduleMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-08-26T13:05:38.005+08:00 WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration : 

Using generated security password: a9163770-2967-40ac-84c7-28d824eaad07

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-08-26T13:05:38.015+08:00 INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer : Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2026-08-26T13:05:38.121+08:00 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
2026-08-26T13:05:38.936+08:00 INFO  o.s.b.d.a.OptionalLiveReloadServer : LiveReload server is running on port 35729
2026-08-26T13:05:38.966+08:00 INFO  o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8081"]
2026-08-26T13:05:39.013+08:00 INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port 8081 (http) with context path '/'
2026-08-26T13:05:39.031+08:00 INFO  c.r.SpringBootMergeApplication : Started SpringBootMergeApplication in 6.011 seconds (process running for 6.758)
2026-08-26T13:06:09.749+08:00 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-08-26T13:06:09.750+08:00 INFO  o.s.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2026-08-26T13:06:09.752+08:00 INFO  o.s.web.servlet.DispatcherServlet : Completed initialization in 1 ms
2026-08-26T13:06:13.048+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2026-08-26T13:06:13.406+08:00 INFO  com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4004c6f0
2026-08-26T13:06:13.409+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2026-08-26T13:06:40.569+08:00 INFO  c.r.service.CourseScheduleService : getAvailableSchedule 1, teacherId=00d29a79-02d6-4a8c-9dd6-98eb9e1086e9, rows=10
2026-08-26T13:06:40.575+08:00 INFO  c.r.service.CourseScheduleService : schedule 40a8b4ba12824f458a28c793f21e064a bookingCount=0
2026-08-26T13:06:40.576+08:00 INFO  c.r.service.CourseScheduleService : schedule becb28f38a974aa7a6c513de8e301932 bookingCount=0
2026-08-26T13:06:40.584+08:00 INFO  c.r.service.CourseScheduleService : schedule 6f11167caa9c4a86a54743762f7d12a9 bookingCount=0
2026-08-26T13:06:40.590+08:00 INFO  c.r.service.CourseScheduleService : schedule de9a1861e1b44ed7aefc1ee02c31581f bookingCount=0
2026-08-26T13:06:40.593+08:00 INFO  c.r.service.CourseScheduleService : schedule ea751515eff94f93a33a3604d284497a bookingCount=0
2026-08-26T13:06:40.596+08:00 INFO  c.r.service.CourseScheduleService : schedule 0d52cdf943f647d2a3bbfc5becc777fe bookingCount=0
2026-08-26T13:06:40.598+08:00 INFO  c.r.service.CourseScheduleService : schedule 1cdfe75b1c9c44939db8acc2f17d97dc bookingCount=0
2026-08-26T13:06:40.600+08:00 INFO  c.r.service.CourseScheduleService : schedule 793fb422ea054ef7973cfa3eba582d89 bookingCount=0
2026-08-26T13:06:40.602+08:00 INFO  c.r.service.CourseScheduleService : schedule a1b49fceada64538915b5ca9991b44c5 bookingCount=0
2026-08-26T13:06:40.605+08:00 INFO  c.r.service.CourseScheduleService : schedule f9cf2cba47944cec833e823c065fd91b bookingCount=0
2026-08-26T13:06:40.608+08:00 INFO  c.r.service.CourseScheduleService : getAvailableSchedule 2, teacherId=00d29a79-02d6-4a8c-9dd6-98eb9e1086e9, rows=10
2026-08-26T13:10:36.111+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2026-08-26T13:10:36.133+08:00 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2026-08-26T13:11:12.358+08:00 INFO  o.h.validator.internal.util.Version : HV000001: Hibernate Validator 8.0.1.Final
2026-08-26T13:11:12.421+08:00 INFO  c.r.SpringBootMergeApplication : Starting SpringBootMergeApplication using Java 21.0.8 with PID 22088 (H:\2026\lesson-appointment\api\target\classes started by Administrator in H:\2026\lesson-appointment\api)
2026-08-26T13:11:12.422+08:00 INFO  c.r.SpringBootMergeApplication : No active profile set, falling back to 1 default profile: "default"
2026-08-26T13:11:12.493+08:00 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-08-26T13:11:12.494+08:00 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-08-26T13:11:14.732+08:00 INFO  o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port 8081 (http)
2026-08-26T13:11:14.747+08:00 INFO  o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8081"]
2026-08-26T13:11:14.755+08:00 INFO  o.a.catalina.core.StandardService : Starting service [Tomcat]
2026-08-26T13:11:14.756+08:00 INFO  o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.31]
2026-08-26T13:11:14.827+08:00 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2026-08-26T13:11:14.827+08:00 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2333 ms
2026-08-26T13:11:15.300+08:00 WARN  c.b.m.core.injector.methods.Insert : [com.reservation.mapper.AuditLogMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2026-08-26T13:11:15.361+08:00 WARN  c.b.m.c.injector.methods.SelectList : [com.reservation.mapper.BookingMapper.selectList] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectList]
2026-08-26T13:11:15.367+08:00 WARN  c.b.m.c.injector.methods.SelectById : [com.reservation.mapper.BookingMapper.selectById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectById]
2026-08-26T13:11:15.441+08:00 WARN  c.b.m.core.injector.methods.Update : [com.reservation.mapper.CourseScheduleMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-08-26T13:11:16.372+08:00 WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration : 

Using generated security password: 83600d82-4a2d-47be-9b1a-7be8281173af

